time,area0,area1,num0,num1
48,4053,29257439,12,12
49,3637,13994766,12,12
50,9994,12176240,12,12
51,9882,8771531,12,12
52,17982,1484118,12,12
53,109409,439934,12,12
54,777452,415997,12,12
55,4301000,364278,12,12
56,11653108,243082,12,12
57,0,2582485,12,12
58,1099721,2846789,12,12
59,3465416,574381,12,12
0,4585837,97024,12,12
1,2941518,16290,12,12
2,101124,24916,12,12
3,10574,278236,12,12
4,10644,348830,12,12
5,10447,2521910,12,12
6,10700,11261173,12,12
7,10565,25992770,12,12
8,13623,3847617,12,12
9,9942,30731288,12,12
10,10583,30654823,12,12
11,10583,24126334,12,12
12,21166,20999231,12,12
13,133116,26151929,12,12
14,971271,17015765,12,12
15,4899644,11994960,12,12
16,5813888,6472462,12,12
17,3907177,5245416,12,12
18,6045962,1986986,12,12
19,8469666,328703,12,12
20,7583711,72357,12,12
21,7583808,13516,12,12
22,84214,24609,12,12
23,10598,258766,12,12
24,10583,1618554,12,12
25,10583,2788127,12,12
26,10583,11827708,12,12
27,10583,26672043,12,12
28,10227,23728288,12,12
29,10373,26111922,12,12
30,10508,27827929,12,12
31,10583,11291081,12,12
32,19190,5493692,12,12
33,116894,1388293,12,12
34,822635,1344322,12,12
35,4699234,1217808,12,12
36,16052909,1771075,12,12
37,6386170,4738824,12,12
38,9462522,2564470,12,12
39,25796945,432458,12,12
40,32864251,84773,12,12
41,32864251,13081,12,12
42,1080081,26159,12,12
43,10615,270489,12,12
44,10645,343962,12,12
45,10422,2556053,12,12
46,10661,11353052,12,12
47,10574,21737534,12,12
48,13389,3458240,12,12
49,9338,7833413,12,12
50,9135,7411530,12,12
51,8535,5182590,12,12
52,2966,0,12,12
53,22005,0,12,12
54,149178,0,12,12
55,791133,0,12,12
56,2559547,0,12,12
57,1358373,3619017,12,12
58,1947277,2191582,12,12
59,2133555,382805,12,12
0,1450293,48526,12,12
1,1453736,10987,12,12
2,57822,26214,12,12
3,10590,292624,12,12
4,10575,1498896,12,12
5,10587,2238115,12,12
6,10388,3618027,12,12
7,10399,6490545,12,12
8,10305,4339065,12,12
9,9237,6332495,12,12
10,9338,6031020,12,12
11,4406,2129917,12,12
12,3997,33690,12,12
13,159875,1593498,12,12
14,1383637,3721938,12,12
15,6667643,3186881,12,12
16,8696093,2007131,12,12
17,3466127,219145,12,12
18,3600673,55702,12,12
19,1556730,9390,12,12
20,1232373,1091,12,12
21,1232373,10568,12,12
22,53078,26477,12,12
23,10579,291372,12,12
24,10587,291372,12,12
25,10579,2285532,12,12
26,10583,10628436,12,12
27,10583,22580676,12,12
28,3465,6311206,12,12
29,3557,19688357,12,12
30,6308,33310793,12,12
31,6731,26050749,12,12
32,14091,28193221,12,12
33,80703,32560132,12,12
34,586299,29516092,12,12
35,3673596,24948748,12,12
36,2200791,19243834,12,12
37,26084156,3903589,12,12
38,28900604,1403072,12,12
39,31812797,399858,12,12
40,31318591,69013,12,12
41,18021159,13872,12,12
42,80922,25852,12,12
43,10508,269242,12,12
44,10620,1557437,12,12
